Date,ACGL,AFL,AIG,AIZ,AJG,ALL,AMP,AON,AXP,BAC,BEN,BK,BLK,BRO,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,FDS,FITB,FRC,GL,GS,HBAN,HIG,ICE,IVZ,JPM,KEY,L,LNC,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PFG,PGR,PNC,PRU,RE,RF,RJF,SBNY,SCHW,SIVB,SPGI,STT,SYF,TFC,TROW,TRV,USB,WFC,WRB,WTW,ZION
2017-01-11 00:00:00-05:00,28.78666687,34.93000031,66.94999695,94.80000305,52.47999954,73.94000244,115.0599976,112.6699982,76.91000366,23.06999969,40.75,48.02999878,380.9500122,22.13999939,59.95999908,130.3600006,73.94000244,36.27000046,74.88999939,69.80999756,115.9000015,89.13999939,71.65000153,169.4400024,27.09000015,92.48999786,73.75,245.7599945,13.43999958,48.50999832,56.84000015,31.11000061,87.08000183,18.59000015,46.43000031,67.62999725,95.01999664,48.51158524,156.9900055,67.44000244,43.66999817,81.51999664,157.0099945,22.57333374,90.01999664,58.97999954,36.47000122,121.3300018,106.4899979,220.0899963,14.52000046,49.93333435,153.6399994,41.31999969,177.5299988,111.9700012,82.84999847,36.36000061,46.77000046,74.01999664,117.6500015,51.79000092,54.79999924,29.86666679,125.75,43.91999817
2017-01-12 00:00:00-05:00,29.04999924,34.78499985,66.25,94.83000183,52.58000183,73.68000031,115.0899963,112.6699982,76.87999725,22.92000008,40.47999954,47.45999908,378.2900085,21.97500038,59.22999954,129.7899933,73.83000183,35.91999817,69.91000366,69.22000122,116.4300003,87.88999939,71.30999756,169.5399933,26.90999985,91.84999847,73.40000153,243.8399963,13.31999969,48.22999954,56.72000122,31.04999924,86.23999786,18.29000092,46.15000153,66.54000092,96.5,48.04812622,156.3500061,67.58000183,43.63000107,81.25,155.3500061,22.46666718,89.79000092,58.86999893,36.20000076,117.9300003,104.2200012,219.7799988,14.43000031,49.21333313,150.8200073,41.25999832,174.5099945,112.5899963,82.08999634,36.13000107,46.34000015,73.52999878,116.75,51.43000031,54.5,29.66666794,125.7300034,42.97000122
2017-01-13 00:00:00-05:00,29.00666618,34.81999969,66.34999847,94.83000183,52.81000137,73.88999939,115.2699966,113.2900009,76.62000275,23.01000023,40.5,47.74000168,379.3500061,22.12999916,59.63000107,130.25,75.01999664,36.29000092,70.05999756,69.91999817,116.8700027,88.84999847,71.66000366,170.2400055,27.29000092,92.94999695,73.87999725,244.3000031,13.47000027,48.33000183,56.83000183,31.10000038,86.69999695,18.57999992,46.09999847,67.20999908,96.95999908,48.40463638,156.8500061,67.73000336,43.81000137,82.40000153,156.0700073,22.56999969,90.19000244,59.02999878,36.25,118.7900009,105.2300034,219.25,14.68000031,49.58666611,152.7100067,41.40999985,176.5899963,112.4199982,82.93000031,36.31999969,46.52000046,73.68000031,117.0500031,51.68999863,55.31000137,29.83111191,124.7300034,43.84999847
2017-01-17 00:00:00-05:00,28.91666794,34.93999863,66.05999756,94.70999908,52.56999969,73.84999847,111.5500031,113.6200027,76.59999847,22.04999924,39.93999863,46.43000031,374.7999878,21.98999977,58.38000107,130.9900055,74.76000214,34.11999893,69.73999786,65.37000275,115.6900024,86.37000275,69.90000153,169.3399963,26.03000069,91.72000122,73,235.7400055,12.94999981,48.54000092,56.45999908,30.54999924,83.55000305,17.70999908,45.68000031,65.5,99.15000153,47.72727203,155.5099945,67.63999939,42.15000153,81.09999847,152.6799927,22.32999992,88.15000153,58.27000046,35.97999954,113.9300003,103.9199982,217.8699951,13.77999973,48.08666611,148.5399933,40.33000183,167.5700073,113.9400024,80.19999695,35.50999832,45.56000137,73.05000305,117.4599991,50.31000137,53.77999878,29.82666779,125.3300018,41.77000046
2017-01-18 00:00:00-05:00,29.35666656,34.98500061,66.23999786,95.12000275,52.93000031,74.51999664,113.4100037,114.0500031,77.48999786,22.62999916,40.00999832,46.22999954,378,22.02000046,57.38999939,131.9700012,75.29000092,34.99000168,70.54000092,67.05999756,117.25,87.27999878,70.36000061,171.1999969,26.32999992,92.12999725,73.80999756,234.2899933,13.14999962,49.40000153,57.31000137,30.54999924,83.94000244,18.12999916,46.25999832,67.05999756,99.33000183,48.1818161,156.5099945,68.16999817,42.86000061,82.29000092,154.6399994,22.41666794,83.98999786,59.47999954,36.34999847,116.3199997,105.5899963,221.1799927,14.02999973,48.55333328,150.4100037,41.09999847,168.8099976,114.4000015,80.15000153,35.90000153,46.20000076,73.29000092,118.5400009,50.56000137,54.27000046,29.85333252,126.1699982,42.47999954
2017-01-19 00:00:00-05:00,29.2266674,34.72999954,66.29000092,95.65000153,52.66999817,74.22000122,112.9800034,112.2799988,76.69000244,22.53000069,39.86000061,44.84000015,377.3500061,21.94000053,56.65999985,131.2700043,75.75,34.72999954,69.88999939,66.30999756,116.3600006,86.72000122,70,169.1600037,25.98999977,92.11000061,73.62000275,231.4100037,13.01000023,48.24000168,56.95999908,30.17000008,83.30000305,17.84000015,45.70000076,66.69000244,99.95999908,48.14616776,155.2299957,67.44999695,42.45000076,81.16000366,155.3500061,22.35333252,83.51999664,58.29999924,36.38000107,115.6100006,104.7600021,219.3899994,13.97999954,48.13999939,150.9700012,41.43999863,168.5899963,114.4000015,78.75,35.61000061,45.29000092,72.75,117.9899979,50.72999954,54.58000183,29.83555603,125.4899979,42.31000137
2017-01-20 00:00:00-05:00,29.16333389,35.04000092,66.54000092,96.15000153,52.84000015,74.54000092,113.0500031,112.0699997,76.19999695,22.63999939,40.61000061,44.56000137,381.3999939,21.91500092,56.11000061,131.4100037,76.63999939,35.81999969,70.26999664,66.95999908,116.6600037,87.33999634,70.19999695,170.5399933,26.29000092,92.55999756,73.98999786,232.1999969,13.11999989,48.31000137,57.40000153,30.52000046,83.66999817,17.86000061,46.02999878,66.93000031,101.0199966,48.42245865,156.8899994,67.98999786,42.59000015,81.75,157.0299988,22.4533329,83.36000061,58.24000168,36.54000092,117.3499985,105.5899963,218.6199951,14.03999996,48.46666718,154.4499969,41.31000137,170.1100006,116,79.01000214,36.24000168,45.41999817,73.69999695,118.0199966,51.20000076,55.06999969,29.69333267,126.0699997,42.45999908
2017-01-23 00:00:00-05:00,29.2266674,34.67499924,65.48999786,95.97000122,52.74000168,74.15000153,112.8600006,111.6999969,75.97000122,22.55999947,40.40000153,43.86999893,378.0599976,21.71500015,55.68000031,131.4299927,76.05000305,35.88999939,69.73000336,67.04000092,116.2399979,86.87000275,69.27999878,171.25,26.5,92.66000366,73.58999634,232.6699982,13.06000042,47.70000076,56.84000015,30.45999908,83.70999908,17.69000053,45.93000031,66.69999695,101.7699966,48.21746826,155.3899994,67.55999756,41.95999908,82.12999725,155.9400024,22.44000053,82.66999817,57.74000168,36.43999863,116.9300003,104.4899979,219.1499939,13.90999985,48.61999893,153.8999939,41.18999863,167.9900055,116.1100006,78.55999756,35.77000046,45.40000153,73.44999695,118.0400009,50.97000122,54.25,29.65777779,125.6100006,42.31000137
2017-01-24 00:00:00-05:00,29.37999916,34.90999985,65.5,96.73999786,53.22999954,74.47000122,114.3099976,112.2099991,77.43000031,22.95000076,41.15999985,44.63000107,381.3800049,21.62999916,56.74000168,131.9700012,76.79000092,36.29999924,70.08999634,67.66000366,117.4400024,88.73000336,69.87999725,172.3500061,26.60000038,93.30999756,74.26000214,233.6799927,13.25,47.90000153,57.45999908,30.85000038,84.72000122,18.04999924,46.74000168,67.80000305,101.9499969,48.9393959,158.3600006,68.23000336,42.72999954,82.20999908,159.5899963,22.64999962,83.48999786,58.58000183,36.61000061,118.6600037,105.6900024,218.3800049,14.23999977,49.5,157.3500061,41.79999924,172.4199982,116.9199982,80.51999664,36.08000183,45.95999908,73.83999634,116.8399963,51.77000046,54.70000076,29.9244442,126.1699982,42.56000137
2017-01-25 00:00:00-05:00,29.55999947,35.22999954,65.72000122,98.02999878,53.79000092,75.38999939,116.9499969,112.8399963,76.88999939,23.37000084,41.86000061,44.90999985,388.3299866,21.60000038,57.68999863,133.0700073,77.94999695,37.52000046,71.11000061,69.38999939,120.1500015,88.37999725,69.20999908,174.4299927,26.90999985,95.19000244,74.69000244,237.25,14.02000046,48.34999847,57.95999908,31.09000015,86.02999878,18.39999962,47.09000015,69.01000214,103.7300034,50.04456329,175.9900055,68.66000366,43.86000061,82.72000122,162.1999969,22.78000069,84.06999969,59.65000153,37.77000046,121.0100021,107.3600006,219.8999939,14.61999989,50.4066658,161.4700012,42.29000092,175.5899963,120.4300003,77.80000305,35.90999985,46.97999954,74.18000031,117.6699982,52.45000076,56.61999893,30.03555679,127.5699997,43.27999878
