Date,AAL,ALK,ALLE,AME,AOS,BA,CARR,CAT,CHRW,CMI,CPRT,CSGP,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FDX,FTV,GD,GE,GNRC,GWW,HII,HON,HWM,IEX,IR,ITW,J,JBHT,JCI,LDOS,LHX,LMT,LUV,MAS,MMM,NDSN,NOC,NSC,ODFL,OTIS,PCAR,PH,PNR,PWR,RHI,ROK,ROL,RSG,RTX,SNA,SWK,TDG,TT,TXT,UAL,UNP,UPS,URI,VRSK,WAB,WM,XYL
2016-04-15 00:00:00-04:00,40.90999984741211,82.37999725341797,63.77000045776367,50.529998779296875,39.6150016784668,131.1300048828125,,79.16999816894531,73.51000213623047,115.31999969482422,10.542499542236328,18.134000778198242,8.643333435058594,90.01000213623047,47.5,77.44000244140625,53.29563903808594,116.18000030517578,55.31999969482422,62.83000183105469,49.2400016784668,22.905000686645508,165.89999389648438,,134.80999755859375,186.33279418945312,38.220001220703125,235.0500030517578,142.97000122070312,109.28475189208984,,83.47000122070312,,104.87999725341797,42.15999984741211,85.43000030517578,38.5235595703125,51.91999816894531,77.38999938964844,225.80999755859375,47.040000915527344,32.279998779296875,168.77999877929688,78.05000305175781,201.8800048828125,81.62999725341797,46.20000076293945,,37.186668395996094,113.72000122070312,37.011417388916016,22.600000381469727,45.34000015258789,116.86000061035156,12.039999961853027,46.150001525878906,65.80868530273438,160.83999633789062,108.79000091552734,226.38999938964844,49.47245788574219,37.75,56.900001525878906,81.20999908447266,105.54000091552734,61.0,78.1500015258789,81.30000305175781,56.900001525878906,42.279998779296875
2016-04-18 00:00:00-04:00,40.91999816894531,82.23999786376953,64.25,50.47999954223633,39.81999969482422,131.97000122070312,,79.25,74.11000061035156,116.66000366210938,10.547499656677246,18.31800079345703,8.6899995803833,90.30999755859375,46.54999923706055,78.31999969482422,53.852989196777344,116.75,55.220001220703125,62.68000030517578,49.20000076293945,22.864999771118164,167.1300048828125,,136.2899932861328,186.512939453125,38.220001220703125,231.99000549316406,143.9499969482422,110.07604217529297,,84.25,,105.30000305175781,42.599998474121094,87.25,38.691097259521484,52.31999969482422,77.69000244140625,227.13999938964844,47.099998474121094,32.400001525878906,169.5500030517578,78.02999877929688,202.7899932861328,81.54000091552734,46.3466682434082,,37.279998779296875,113.37999725341797,37.05171203613281,22.6299991607666,45.529998779296875,117.05999755859375,12.04888916015625,46.47999954223633,66.1611099243164,161.13999938964844,109.11000061035156,225.08999633789062,49.57331466674805,37.93000030517578,56.97999954223633,80.87999725341797,106.18000030517578,61.540000915527344,78.61000061035156,80.7699966430664,57.16999816894531,42.61000061035156
2016-04-19 00:00:00-04:00,41.34000015258789,82.12000274658203,63.880001068115234,50.9900016784668,39.310001373291016,132.67999267578125,,80.38999938964844,75.2300033569336,117.75,10.617500305175781,18.39699935913086,8.803333282470703,90.47000122070312,46.869998931884766,82.36000061035156,54.90306854248047,116.41000366210938,55.650001525878906,62.77000045776367,49.81999969482422,22.8700008392334,168.27000427246094,,136.69000244140625,187.0533905029297,38.4900016784668,230.25999450683594,144.47000122070312,110.40019226074219,,84.12000274658203,,105.66999816894531,42.959999084472656,88.45999908447266,38.460731506347656,51.630001068115234,78.79000091552734,226.50999450683594,47.130001068115234,32.400001525878906,169.64999389648438,77.94999694824219,201.58999633789062,82.7699966430664,46.64666748046875,,37.413333892822266,114.05000305175781,37.783748626708984,22.889999389648438,45.119998931884766,116.19000244140625,12.017778396606445,46.45000076293945,66.07929229736328,161.60000610351562,109.05999755859375,227.0500030517578,49.557796478271484,38.04999923706055,58.04999923706055,82.23999786376953,106.83999633789062,61.150001525878906,78.5999984741211,81.54000091552734,57.130001068115234,42.709999084472656
2016-04-20 00:00:00-04:00,41.2599983215332,81.5999984741211,63.90999984741211,50.95000076293945,39.584999084472656,130.57000732421875,,79.73999786376953,74.7300033569336,116.61000061035156,10.710000038146973,18.343000411987305,8.84000015258789,90.16000366210938,46.599998474121094,84.26000213623047,54.765750885009766,117.33000183105469,55.06999969482422,62.15999984741211,49.369998931884766,22.905000686645508,167.39999389648438,,136.7100067138672,187.0533905029297,38.279998779296875,228.55999755859375,144.05999755859375,109.8091049194336,,83.62000274658203,,104.3499984741211,43.380001068115234,88.94999694824219,38.38743591308594,51.630001068115234,79.30000305175781,226.5800018310547,47.04999923706055,32.720001220703125,168.94000244140625,78.48999786376953,201.5800018310547,83.16000366210938,47.03333282470703,,37.619998931884766,113.48999786376953,37.871055603027344,22.899999618530273,45.869998931884766,115.62000274658203,12.071110725402832,46.18000030517578,66.412841796875,161.3300018310547,108.22000122070312,229.5,49.3560905456543,39.90999984741211,58.599998474121094,83.8499984741211,106.16999816894531,60.13999938964844,78.58999633789062,81.58999633789062,56.7400016784668,42.16999816894531
2016-04-21 00:00:00-04:00,40.0099983215332,79.37999725341797,63.2400016784668,50.959999084472656,39.97999954223633,130.74000549316406,,78.66000366210938,74.30999755859375,115.13999938964844,10.539999961853027,18.285999298095703,8.933333396911621,89.16000366210938,44.970001220703125,82.80000305175781,53.86106491088867,115.91000366210938,55.16999816894531,62.150001525878906,48.709999084472656,22.790000915527344,165.57000732421875,,137.72000122070312,186.0325469970703,38.18000030517578,227.88999938964844,143.75,109.56122589111328,,83.29000091552734,,104.56999969482422,43.380001068115234,85.91999816894531,40.67015838623047,51.08000183105469,78.94999694824219,226.07000732421875,47.72999954223633,32.29999923706055,168.66000366210938,78.22000122070312,200.0,82.62999725341797,45.4466667175293,,37.27333450317383,112.8499984741211,37.904632568359375,22.950000762939453,43.290000915527344,114.98999786376953,11.893333435058594,45.619998931884766,66.34990692138672,160.1999969482422,112.2699966430664,228.4600067138672,49.2862663269043,39.54999923706055,52.7599983215332,87.31999969482422,104.98999786376953,64.87000274658203,78.05999755859375,80.80999755859375,56.349998474121094,41.84000015258789
2016-04-22 00:00:00-04:00,38.209999084472656,76.80999755859375,64.23999786376953,51.13999938964844,40.20500183105469,131.0500030517578,,78.31999969482422,74.55999755859375,116.11000061035156,10.572500228881836,18.43600082397461,9.176667213439941,89.69999694824219,44.619998931884766,82.80000305175781,54.40226364135742,115.70999908447266,55.470001220703125,62.9900016784668,48.95000076293945,22.815000534057617,166.32000732421875,,137.89999389648438,184.71145629882812,39.25,229.1300048828125,144.1999969482422,108.84619903564453,,83.4800033569336,,104.66000366210938,43.77000045776367,86.01000213623047,41.03664779663086,51.619998931884766,79.83000183105469,226.8300018310547,47.25,32.470001220703125,168.66000366210938,78.98999786376953,200.75,91.33000183105469,45.99333190917969,,37.65999984741211,114.01000213623047,38.468772888183594,23.40999984741211,43.97999954223633,115.11000061035156,11.973333358764648,45.7400016784668,66.51982116699219,160.64999389648438,111.66999816894531,226.7899932861328,49.99224090576172,39.779998779296875,50.7400016784668,89.62999725341797,105.5199966430664,66.01000213623047,78.19000244140625,80.98999786376953,56.38999938964844,42.459999084472656
2016-04-25 00:00:00-04:00,37.0,74.44999694824219,64.69999694824219,51.040000915527344,39.685001373291016,130.75,,76.79000091552734,74.5999984741211,114.91000366210938,10.557499885559082,18.327999114990234,9.046667098999023,89.45999908447266,43.93000030517578,82.41000366210938,53.949920654296875,116.30999755859375,55.310001373291016,62.2599983215332,48.90999984741211,22.799999237060547,165.55999755859375,,136.7899932861328,184.23106384277344,37.86000061035156,229.19000244140625,143.00999450683594,107.96910095214844,,82.66999816894531,,104.4800033569336,43.61000061035156,84.95999908447266,40.98429489135742,51.31999969482422,78.7699966430664,226.3000030517578,46.849998474121094,32.2400016784668,168.3800048828125,78.06999969482422,200.72999572753906,91.37000274658203,45.22666549682617,,37.366668701171875,113.41000366210938,37.696441650390625,22.950000762939453,43.709999084472656,114.7699966430664,11.893333435058594,45.7599983215332,66.20516204833984,161.6699981689453,111.5199966430664,224.42999267578125,49.67416763305664,38.9900016784668,49.369998931884766,87.61000061035156,105.06999969482422,64.81999969482422,78.43000030517578,79.5999984741211,56.349998474121094,42.209999084472656
2016-04-26 00:00:00-04:00,36.91999816894531,74.3499984741211,65.66999816894531,51.599998474121094,40.01499938964844,133.24000549316406,,77.6500015258789,75.70999908447266,116.18000030517578,10.600000381469727,18.298999786376953,9.216667175292969,89.83000183105469,43.59000015258789,83.41999816894531,53.877220153808594,117.18000030517578,56.11000061035156,63.25,49.63999938964844,23.239999771118164,167.11000061035156,,138.7100067138672,185.55215454101562,38.099998474121094,234.32000732421875,144.3800048828125,109.44682312011719,,84.12999725341797,,105.41999816894531,44.380001068115234,85.54000091552734,41.29842758178711,51.84000015258789,79.47000122070312,232.16000366210938,46.18000030517578,31.579999923706055,166.17999267578125,79.41999816894531,203.57000732421875,93.05000305175781,46.49333190917969,,39.28666687011719,114.36000061035156,39.15379333496094,23.6299991607666,44.599998474121094,115.91999816894531,11.897777557373047,46.11000061035156,65.95343017578125,161.77999877929688,112.77999877929688,230.89999389648438,50.729248046875,39.75,49.13999938964844,88.76000213623047,106.2300033569336,66.9000015258789,78.79000091552734,83.22000122070312,56.529998779296875,42.86000061035156
2016-04-27 00:00:00-04:00,36.709999084472656,73.58000183105469,66.83000183105469,52.34000015258789,39.57500076293945,137.0800018310547,,78.68000030517578,71.80999755859375,116.72000122070312,10.6875,17.950000762939453,9.276666641235352,89.97000122070312,43.689998626708984,84.70999908447266,53.91761016845703,118.61000061035156,56.290000915527344,63.83000183105469,50.349998474121094,23.719999313354492,167.55999755859375,,143.61000061035156,185.7322998046875,38.7400016784668,238.72999572753906,146.4199981689453,110.05697631835938,,83.80000305175781,,105.48999786376953,44.95000076293945,86.2699966430664,41.59162139892578,50.63999938964844,80.76000213623047,233.64999389648438,45.56999969482422,31.690000534057617,167.75999450683594,79.72000122070312,207.0,93.2300033569336,48.099998474121094,,40.1533317565918,116.91999816894531,40.25520324707031,24.290000915527344,39.130001068115234,115.69000244140625,11.79555606842041,46.4900016784668,66.63939666748047,162.67999267578125,113.19000244140625,232.63999938964844,51.24903106689453,39.880001068115234,48.939998626708984,89.16999816894531,106.45999908447266,68.06999969482422,78.69999694824219,86.26000213623047,56.400001525878906,42.900001525878906
2016-04-28 00:00:00-04:00,35.970001220703125,72.01000213623047,65.23999786376953,48.099998474121094,38.665000915527344,134.8000030517578,,77.75,70.83000183105469,116.61000061035156,10.704999923706055,19.447999954223633,9.123332977294922,89.27999877929688,42.86000061035156,83.93000030517578,53.3441047668457,120.31999969482422,55.02000045776367,63.189998626708984,49.849998474121094,23.635000228881836,165.66000366210938,,141.16000366210938,185.55215454101562,38.369998931884766,235.9600067138672,145.16000366210938,109.27521514892578,,82.37999725341797,,104.56999969482422,44.5,84.69000244140625,41.25654602050781,49.86000061035156,80.05000305175781,232.72000122070312,44.060001373291016,31.15999984741211,167.0,77.3499984741211,205.61000061035156,91.9800033569336,44.40666580200195,,39.720001220703125,115.44000244140625,39.415714263916016,23.579999923706055,38.84000015258789,114.23999786376953,11.946666717529297,47.25,65.59471130371094,161.11000061035156,112.41000366210938,229.91000366210938,50.682701110839844,39.29999923706055,48.060001373291016,88.51000213623047,104.91000366210938,66.80999755859375,78.68000030517578,83.66000366210938,58.310001373291016,42.16999816894531
