Date,AMT,ARE,AVB,BXP,CBRE,CCI,CPT,DLR,EQIX,EQR,ESS,EXR,FRT,HST,IRM,KIM,MAA,O,PEAK,PLD,PSA,REG,SBAC,SPG,UDR,VTR,WELL,WY
2015-01-02 00:00:00-05:00,99.66999817,89.79000092,165.8099976,131.2599945,34.66999817,79.51000214,75.25,66.41000366,226.6499939,73.41000366,210.3500061,58.93999863,135.7400055,23.80999947,38.95999908,25.45999908,76.15000153,47.11240387,40.84699631,43.43000031,187.2299957,64.80999756,110.9700012,185.3399963,31.37000084,83.71588135,76.94999695,36.11000061
2015-01-05 00:00:00-05:00,98.23000336,90.87000275,166.9299927,132.4499969,33.91999817,79,74.94999695,67.69000244,224.3200073,74.05999756,211.1900024,60.24000168,137.5800018,23.62000084,39.15000153,25.69000053,75.86000061,48.0813942,41.25683212,43.40000153,188.1100006,65.54000092,109.2200012,186.1000061,31.70000076,84.13840485,77.90000153,36.11000061
2015-01-06 00:00:00-05:00,97.97000122,91.33000183,169.1999969,135.0200043,33.65999985,78.84999847,75.62000275,67.48000336,219.4299927,74.48000336,214.2299957,61.54999924,139.3800049,23.52000046,39.50999832,25.84000015,77.18000031,48.71123886,42.04007339,43.54999924,191.3200073,66.01000214,108.6500015,191.2799988,31.87999916,86.01119232,79.01000214,36.06999969
2015-01-07 00:00:00-05:00,99,92.56999969,171.1600037,136.5299988,34.00999832,80.5,77.69999695,68.01999664,220.1499939,75.58000183,217.4600067,62.43999863,142.3000031,23.64999962,39.56999969,26.51000023,78.13999939,49.5058136,42.93260574,44.20999908,195.2400055,67.72000122,110.1399994,194.8000031,32.09999847,87.29016876,79.73999786,36.18000031
2015-01-08 00:00:00-05:00,99.91999817,93.62999725,172.75,137.0800018,34.75,81.76999664,76.88999939,68.91000366,222.7799988,76.43000031,218.8600006,63.38000107,141.6799927,23.89999962,40.29999924,26.60000038,78.33999634,48.1976738,42.35883331,44.22000122,197.8999939,67.48000336,111.2399979,194.5200043,31.89999962,86.86764526,79.41000366,36.56999969
2015-01-09 00:00:00-05:00,99.41000366,93.36000061,173.2799988,137.7700043,34.65000153,81.62000275,77.66000366,68.18000031,216.8899994,77,220.6199951,63.13999939,141.8099976,23.73999977,39.47999954,26.54000092,78.83000183,48.76937866,42.40437317,44.15000153,198.5,67.33999634,110.8499985,196.5700073,32.00999832,86.85623169,79.48999786,36.52000046
2015-01-12 00:00:00-05:00,98.98000336,93.97000122,174.7799988,138.3399963,34.5,81.51999664,78.72000122,68.81999969,216.8800049,77.88999939,222.0399933,64.04000092,142.6499939,23.79000092,39.31999969,26.70000076,80.86000061,49.4476738,43.07832336,44.59999847,198.1499939,68.34999847,110.5,196.7599945,32.38000107,87.86113739,80.69000244,36.56999969
2015-01-13 00:00:00-05:00,97.87999725,94.27999878,174.6000061,138.0399933,34.09000015,81.33000183,77.38999939,69.79000092,217.25,77.08999634,222.4400024,64.11000061,141.8899994,23.75,39.68999863,26.81999969,79.88999939,49.54457474,42.99635696,43.70999908,198.9199982,67.98000336,110.5899963,196.8899994,32.09000015,88.19230652,80.87000275,36.68999863
2015-01-14 00:00:00-05:00,97.26000214,94.83999634,176.8500061,139.6600037,33.75999832,81.65000153,78,71.01999664,218.8800049,78.08000183,225.4400024,64.77999878,143.1100006,23.71999931,40,27.27000046,80.62999725,50.09689713,43.4790535,43.72000122,198.8200073,69.12999725,109.9499969,198.6300049,32.40000153,88.63766479,81.90000153,36.43999863
2015-01-15 00:00:00-05:00,96.27999878,95.25,177.5,139.9700012,33.24000168,81.62999725,78.84999847,71.52999878,218.2100067,78.52999878,227.2700043,65.41999817,142.9799957,23.76000023,40.36000061,27.28000069,80.63999939,50.59108353,43.86156464,43.77000046,199.4400024,68.05999756,108.3899994,200.0700073,32.75,88.74043274,83.16999817,36.36999893
2015-01-16 00:00:00-05:00,97.41999817,96.69999695,179.0800018,141.0899963,33.09000015,82.62999725,79.30999756,72.09999847,220.2400055,79.38999939,228.1699982,66.69999695,144.2400055,23.71999931,40.33000183,27.70999908,81.44000244,51.14340973,43.90710449,44.15000153,202.25,69.25,109.5199966,200.8000031,33.11999893,89.07160187,84.30999756,36.63000107
2015-01-20 00:00:00-05:00,97.12999725,95.52999878,175.5700073,140.5200043,32.95000076,82.01000214,78.58999634,72.77999878,222.3999939,77.98000336,226.1100006,66.27999878,143.1600037,23.69000053,40.75,27.29999924,80.38999939,51.1046524,43.87067413,43.84000015,202.5800018,68.15000153,110.3099976,199.6300049,32.81000137,89.9965744,83.37000275,35.90999985
2015-01-21 00:00:00-05:00,96.75,95.95999908,176.9400024,140.5200043,32.63999939,81.36000061,79.38999939,72.58999634,223.4199982,77.73000336,225.8300018,66.13999939,143.1199951,23.61000061,39.90000153,27.29999924,81.08000183,51.11434174,43.24225998,44.02999878,201.0099945,67.97000122,111.3899994,200.2200012,32.75,89.45986176,82.43000031,35.66999817
2015-01-22 00:00:00-05:00,98.83000183,98.16000366,178.9600067,143.1600037,33.11000061,85.25,80.19999695,73.51000214,229.1499939,79.30999756,228.8200073,66.94999695,145.6799927,24.11000061,40.34000015,28.02000046,82.05000305,51.54069901,43.74316788,45.11999893,205.2200012,69.47000122,116.4700012,204.0299988,33.63000107,91.4240036,82.98999786,36.47999954
2015-01-23 00:00:00-05:00,99.59999847,98.40000153,178.8999939,142.6699982,32.95000076,86.83000183,79.69000244,73.65000153,230.6000061,79.80000305,227.8600006,66.5,145.0700073,24.12999916,40.75,27.97999954,82.11000061,51.87984467,43.85245895,45.31000137,202.75,68.66000366,118.3799973,203.1100006,33.65999985,91.84651947,83.23000336,36.04000092
2015-01-26 00:00:00-05:00,101.7600021,100.0899963,180.2700043,144.2299957,33.27000046,88.05000305,80.91999817,74.05000305,229.4100037,80.09999847,230.1100006,66.73000336,147.8800049,24.13999939,40.86000061,28.29999924,82.48999786,53.02325439,43.79781342,45.84999847,204.3899994,69.81999969,119.1399994,205.1600037,34.04999924,92.0977478,83.08000183,36.11999893
2015-01-27 00:00:00-05:00,100.3899994,99.29000092,179.4600067,144.2200012,33.22999954,87.80000305,80.76999664,74.01999664,221.8999939,80.23999786,229.2899933,66.86000061,147.2400055,23.97999954,40.36000061,28.32999992,82.48000336,53.34302139,43.67941666,47.13000107,204.6699982,69.87000275,119.9899979,204.6799927,34.38000107,92.22336578,83.01999664,35.90999985
2015-01-28 00:00:00-05:00,98.87999725,98.94999695,177.5500031,142.9799957,32.72000122,87.16000366,79.86000061,74.38999939,217.1000061,79.62999725,227.3099976,67.23000336,146.75,23.5,40.16999817,28.12000084,81.72000122,53.39147186,43.60655594,46.41999817,202.7599945,69.70999908,118.0100021,203.5099945,34.25,92.21194458,83.04000092,35.56999969
2015-01-29 00:00:00-05:00,98.41999817,99.31999969,174.8999939,143.4400024,32.99000168,86.76000214,79.38999939,74.09999847,221.9199982,79.33999634,229.5200043,67.38999939,147.3999939,23.63999939,40.66999817,28.29000092,80.72000122,53.430233,43.67031097,46.24000168,204.1900024,69.87999725,118.9100037,204.7599945,33.97000122,92.44033051,83.73999786,35.40999985
2015-01-30 00:00:00-05:00,96.94999695,97.51999664,172.9900055,138.8000031,32.34000015,86.51000214,77.05000305,72.94000244,216.8600006,77.61000061,226.0500031,66,143.7700043,22.88999939,39.84000015,27.64999962,79.31999969,52.62596893,43.06921768,45.13999939,200.8399963,68.55999756,116.6999969,198.6600037,33.25999832,91.13851929,81.94999695,35.84999847
2015-02-02 00:00:00-05:00,97.84999847,96.94999695,172.6499939,140.2100067,32.56999969,86.36000061,76.66999817,73.23999786,218,77.09999847,226.3800049,66.15000153,143.8600006,22.97999954,39.66999817,27.77000046,79.56999969,51.87984467,42.9690361,45.15000153,201.75,68.48999786,118,199.4100037,33.27999878,91.11567688,81.94999695,35.24000168
2015-02-03 00:00:00-05:00,99.08999634,97.01999664,173.6799927,141.8099976,33.68000031,87.23999786,77.55000305,73.36000061,223.6000061,77.98999786,228.3899994,66.66999817,145.5200043,23.30999947,40.20000076,28.05999947,79.26999664,51.64728546,42.63205719,45.22000122,203.0299988,69.52999878,117.9300003,200.0899963,33.38000107,91.04716492,81.76000214,35.56999969
2015-02-04 00:00:00-05:00,97.84999847,96.19000244,173.3399963,141.1300049,33.74000168,86.26999664,76.98999786,73.51000214,222.1199951,78.94000244,228.1600037,66.66999817,144.7200012,23.06999969,40.54999924,27.69000053,78.72000122,51.18217087,41.31147385,45.16999817,202.6600037,68.97000122,118.7300034,201.8300018,33.16999817,89.72251129,80.72000122,35.29000092
2015-02-05 00:00:00-05:00,99.58999634,96.88999939,175,143.7899933,34.77999878,86.73000336,77.26000214,74.18000031,225.8000031,80.26999664,230.4799957,67.97000122,147.0399933,23.42000008,41.09000015,28.02000046,77.52999878,51.69573593,41.16575623,45.79000092,206.7599945,69.30000305,119.5299988,203.2200012,33.47999954,90.63606262,81.62999725,35.50999832
2015-02-06 00:00:00-05:00,95.73000336,94.26999664,169.1600037,140.9499969,33.91999817,86.66000366,75.19000244,69.72000122,219.4299927,78.12000275,223.6999969,66.16999817,142.3000031,23.15999985,40.90999985,26.72999954,74.87999725,49.26356506,39.9089241,44.63999939,204.4700012,67.37000275,117.8799973,195.0800018,32.40000153,86.7991333,77.25,34.86999893
2015-02-09 00:00:00-05:00,96.69999695,94.34999847,168.4400024,140.1900024,34.02999878,86.19000244,75.02999878,67.98000336,217.3000031,77.87000275,222.1300049,65.44999695,141.4100037,22.94000053,39.52999878,26.52000046,73.81999969,49.57364273,39.7449913,44.68000031,202.6000061,66.76999664,116.2399979,194.1100006,32.15000153,86.50222778,77.06999969,34.84999847
2015-02-10 00:00:00-05:00,96.37000275,94.76999664,170.0800018,142.2200012,34.59999847,87.16999817,75.16999817,69.15000153,219.8200073,77.69999695,224.3000031,65.22000122,142.3699951,23.13999939,39.75,26.87999916,73.93000031,49.69961166,38.87067413,44.88000107,203.6799927,66.79000092,118.3899994,194.75,32.31000137,87.5528183,77.5,35.22000122
2015-02-11 00:00:00-05:00,95.95999908,94.83000183,170.4400024,140.9199982,34.72000122,87.18000031,74.98999786,69.52999878,221.0700073,77.97000122,223.8000031,64.88999939,142.2400055,23.20000076,39.86000061,26.78000069,73.58000183,49.75775146,38.78870773,44.40999985,202.8300018,66.65000153,119.3600006,192.4199982,32.18000031,87.34726715,77.23999786,35.09999847
2015-02-12 00:00:00-05:00,95.97000122,96.19000244,173.3899994,142.6600037,35.13000107,87.58999634,76.26999664,70.72000122,227.7400055,79.86000061,227.9900055,65.65000153,144.5399933,23.70000076,40.47000122,27.07999992,74.41000366,50.08720779,38.86156464,44.77000046,203.7899933,67.23000336,119.6600037,194.7200012,32.66999817,87.95249176,77.44999695,35.56000137
2015-02-13 00:00:00-05:00,96.40000153,94.90000153,170.8200073,141.0800018,34.95999908,88,75.23999786,68.65000153,227.6999969,78.75,226.6900024,65.33000183,143.9600067,23.62000084,39.36999893,26.82999992,73.81999969,50.39728546,39.04371643,43.81000137,202.6100006,66.76999664,121.6699982,193.1100006,32.45000076,87.48429871,77.12000275,35.52000046
2015-02-17 00:00:00-05:00,96.22000122,94.66000366,170.7400055,140.25,34.77000046,87.59999847,75.05000305,67.30000305,225.1799927,79.01000214,226.2100067,64.69999695,143.5800018,23.55999947,39.08000183,26.76000023,73.80000305,50.1744194,39.14389801,43.70999908,203.1300049,66.43000031,122.1800003,192.8099976,32.41999817,87.34726715,76.97000122,35.00999832
2015-02-18 00:00:00-05:00,96.19999695,96.27999878,173.1999969,141.7799988,35,88.19999695,75.81999969,67.58000183,228.9100037,79.98999786,227.9600067,65.44999695,144.8399963,23.54000092,39.52999878,26.94000053,75.09999847,51.0174408,39.6630249,43.95999908,203.1600037,67.26999664,122.1699982,194.2799988,32.66999817,88.9003067,78.11000061,35.45999908
2015-02-19 00:00:00-05:00,95.26000214,94.76000214,169.0299988,138.4700012,34.56000137,87.79000092,74.36000061,66.26999664,229.4100037,77.58000183,223.5500031,63.75999832,142.2299957,21.87000084,38.83000183,26.34000015,73.69999695,49.7965126,39.12568283,42.84999847,198.7899933,65.37000275,121.0199966,189.8099976,31.82999992,87.17597198,76.22000122,35.15999985
2015-02-20 00:00:00-05:00,96.52999878,96.08999634,171,139.3699951,34.75999832,88.70999908,75.66999817,67.41999817,235.3800049,78.65000153,226.5599976,65.56999969,144.2400055,21.77000046,36.70999908,26.89999962,74.48999786,50.35852814,39.58105469,43.02000046,200.1799927,66.09999847,121.25,191.8099976,32.18999863,88.42069244,78.05000305,35.49000168
2015-02-23 00:00:00-05:00,97.33000183,97.40000153,173.4600067,140.9299927,34.88999939,87.90000153,75.25,67.93000031,232.9600067,79.94999695,228.4799957,66.06999969,145.4199982,21.61000061,36.29000092,27.26000023,74.45999908,50.79457474,39.8269577,43.45999908,201.0099945,66.83999634,119.3600006,193.6100006,32.56000137,88.59198761,78.69000244,35.72999954
2015-02-24 00:00:00-05:00,94.65000153,95.69999695,168.8999939,138.2599945,34.66999817,86.80999756,73.30000305,66.75,232.1699982,77.98000336,223.1699982,65.36000061,143.0099945,21.31999969,36.58000183,26.45000076,73.15000153,49.29263687,38.3970871,42.68999863,198.5,65.55999756,117.8099976,190.0599976,31.62000084,85.12047577,76.5,35.13999939
2015-02-25 00:00:00-05:00,97.84999847,96.13999939,167.9799957,137.6600037,34.77999878,86.58000183,72.87000275,66.16999817,228.3899994,77.69999695,222.3800049,66.33999634,142.5299988,21.25,36.47999954,26.45000076,73.44999695,49.51550293,38.52458954,42.90000153,198.2799988,65.59999847,119.75,190.4799957,31.79999924,84.99485779,77.62999725,34.93999863
2015-02-26 00:00:00-05:00,98.87999725,95.04000092,166.2299957,136.2299957,34.45999908,86.08999634,72.37000275,65.44000244,226.3999939,76.83999634,220.3399963,65.44999695,140.5700073,21.12000084,36.84999847,26.17000008,71.97000122,48.26550293,38.0510025,42.43000031,196.7599945,64.75,120,187.1399994,31.48999977,84.25260162,76.06999969,35.09000015
2015-02-27 00:00:00-05:00,99.13999939,95.91000366,168.3399963,137.4100037,34.25999832,86.30999756,72.79000092,66.37999725,224.1799927,77.02999878,222.4299927,65.77999878,142.0299988,21,36.75,26.28000069,72.47000122,48.50775146,38.57923508,42.70999908,197.2200012,65.62999725,124.7099991,190.3600006,31.94000053,85.0405426,77.11000061,35.11000061
2015-03-02 00:00:00-05:00,99.40000153,97.41000366,169.6600037,138.7599945,34.81000137,86.38999939,73.12000275,66.94000244,223.6399994,77.58000183,225.1600037,66.48999786,142.6699982,21.43000031,37.49000168,26.30999947,73.26000214,49.07945633,38.41530228,42.70000076,197.5500031,66.22000122,125.3199997,190.0399933,32.34000015,85.28034973,77.37999725,35.20000076
